x,y,is_hull,elapsed_ms,n_points,n_hull,n_inside,density
288.000000,162.000000,0,0,32,9,23,0.718750
403.200012,162.000000,0,0,32,9,23,0.718750
518.400024,162.000000,0,0,32,9,23,0.718750
633.599976,162.000000,0,0,32,9,23,0.718750
748.800049,162.000000,0,0,32,9,23,0.718750
864.000000,162.000000,1,0,32,9,23,0.718750
864.000000,226.800003,0,0,32,9,23,0.718750
864.000000,291.600006,0,0,32,9,23,0.718750
864.000000,356.400024,0,0,32,9,23,0.718750
864.000000,421.200012,0,0,32,9,23,0.718750
864.000000,486.000000,1,0,32,9,23,0.718750
748.799988,486.000000,0,0,32,9,23,0.718750
633.599976,486.000000,0,0,32,9,23,0.718750
518.400024,486.000000,0,0,32,9,23,0.718750
403.199982,486.000000,0,0,32,9,23,0.718750
288.000000,486.000000,0,0,32,9,23,0.718750
288.000000,421.200012,0,0,32,9,23,0.718750
288.000000,356.399994,0,0,32,9,23,0.718750
288.000000,291.599976,0,0,32,9,23,0.718750
288.000000,226.799988,0,0,32,9,23,0.718750
617.000000,334.000000,0,0,32,9,23,0.718750
478.000000,299.000000,0,0,32,9,23,0.718750
412.000000,166.000000,0,0,32,9,23,0.718750
519.000000,91.000000,0,0,32,9,23,0.718750
364.000000,76.000000,1,0,32,9,23,0.718750
762.000000,103.000000,1,0,32,9,23,0.718750
631.000000,539.000000,1,0,32,9,23,0.718750
340.000000,575.000000,1,0,32,9,23,0.718750
152.000000,283.000000,0,0,32,9,23,0.718750
139.000000,128.000000,1,0,32,9,23,0.718750
100.000000,525.000000,1,0,32,9,23,0.718750
918.000000,340.000000,1,0,32,9,23,0.718750
